LEDGERNAME,SEGMENT3,SEGMENT4,FIN_CATEGORY,ACCOUNTS_ID,NAME
"US Primary Ledger",78630,120,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",77600,120,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",60540,120,"TRAVEL AND ENT EXP",21,"US Primary Ledger"
"US Primary Ledger",62510,120,FREIGHT,21,"US Primary Ledger"
"US Primary Ledger",78610,120,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",63180,466,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,464,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,463,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,462,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,461,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,450,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,440,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,430,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,420,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,410,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63180,468,"OTHER MKTG EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,110,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,120,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,121,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,220,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,231,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,250,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,440,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,450,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,461,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,462,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,463,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,464,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,510,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64570,410,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",77700,410,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",24220,000,"ACC LIAB",21,"US Primary Ledger"
"US Primary Ledger",62520,410,FREIGHT,21,"US Primary Ledger"
"US Primary Ledger",77600,410,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",78110,410,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",46000,410,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",22210,000,AP,21,"US Primary Ledger"
"US Primary Ledger",77800,410,"OTHER INC",21,"US Primary Ledger"
"US Primary Ledger",13200,000,"OTHER CA",21,"US Primary Ledger"
"US Primary Ledger",49000,121,REVENUE,21,"US Primary Ledger"
"US Primary Ledger",78560,121,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,521,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,120,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,121,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,220,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,231,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,250,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,440,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,450,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,461,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,462,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,463,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,464,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,510,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,521,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,522,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,523,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,610,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",64510,620,"OTHER OPER EXP",21,"US Primary Ledger"
"US Primary Ledger",63542,522,"OTHER OPER EXP",21,"US Primary Ledger"
